TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
AzInitialBeamOffset,AZIMUTH OFFSET,SCAN MODEL,7,FALSE,FALSE,format_degree,0.000 DEG,SCAN
ElInitialBeamOffset,ELEVATION OFFSET,SCAN MODEL,8,FALSE,FALSE,format_degree,45.000 DEG,SCAN
AzScanPeriod,SCAN PERIOD,SCAN MODEL,9,FALSE,FALSE,format_second,1.00000 SEC,SCAN
AzDirection,ROTATION,SCAN MODEL,10,FALSE,FALSE,dir_abrev,CW,SCAN
ElScanMotion,OVERLAY MODEL,SCAN MODEL,14,FALSE,FALSE,motion_overlay,NODDING,SCAN
ElDirection,TYPE,SCAN MODEL,15,FALSE,FALSE,dir_typ,TRIANGULAR,SCAN
ElDirection,DIRECTION,SCAN MODEL,16,FALSE,FALSE,dir_dir,VERTICAL,SCAN
ElTrackOffset,ORIGIN,SCAN MODEL,17,FALSE,FALSE,offset_origin,BOTTOM,SCAN
ElSectorWidth,SPAN,SCAN MODEL,18,FALSE,FALSE,format_degree,90.000 DEG,SCAN
ElScanPeriod,SCAN RATE,SCAN MODEL,19,FALSE,FALSE,period_to_hz,30.00000 HZ,SCAN
,PULSE TRIG ON REV,SCAN MODEL,12,FALSE,FALSE,,NO,SCAN
,SCAN PERSPECTIVE,SCAN MODEL,21,FALSE,FALSE,,TARGET,SCAN
,DEFAULT OFFSET,SCAN MODEL,23,FALSE,FALSE,,0.0000 DBM,SCAN
,SCAN MODEL,SCAN MODEL,44,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,SCAN MODEL,46,TRUE,FALSE,,A123Z_SCAN,SIG
,SCAN PERSPECTIVE,SCAN MODEL,48,FALSE,FALSE,,TARGET,SIG
,DEFAULT OFFSET,SCAN MODEL,50,FALSE,FALSE,,0.0000 DBM,SIG
,ANTENNA MODEL,ANTENNA MODEL,54,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,ANTENNA MODEL,56,TRUE,FALSE,,A123Z ANT,SIG
,ENABLE MSS,MULTIPLE SIMULTANEOUS SIGNALS,60,FALSE,FALSE,,NO,SIG
